delta	c	MAP	P30
0.66	2.1	0.2466	0.3041
0.66	2.15	0.2466	0.3043
0.66	2.2	0.2449	0.302
0.66	2.25	0.2433	0.3019
0.66	2.3	0.2475	0.3046
0.66	2.35	0.2476	0.3047
0.66	2.4	0.2478	0.3047
0.66	2.45	0.2481	0.3051
0.66	2.5	0.2481	0.3058
0.66	2.55	0.2483	0.3058
0.66	2.6	0.2484	0.3064
0.66	2.65	0.2487	0.3064
0.66	2.7	0.2488	0.3067
0.66	2.75	0.2486	0.3056
0.66	2.8	0.249	0.307
0.66	2.85	0.249	0.3068
0.66	2.9	0.2492	0.3066
0.66	2.95	0.2493	0.3068
0.66	3	0.2499	0.3074
0.66	3.05	0.2499	0.3076
0.66	3.1	0.2501	0.3078
0.66	3.15	0.2504	0.3072
0.66	3.2	0.2505	0.3079
0.66	3.25	0.2506	0.308
0.66	3.3	0.2506	0.3083
0.66	3.35	0.2508	0.3082
0.66	3.4	0.2508	0.3076
0.66	3.45	0.2508	0.3076
0.66	3.5	0.2511	0.3078
0.66	3.55	0.251	0.3076
0.66	3.6	0.2511	0.3079
0.66	3.65	0.2511	0.3078
0.66	3.7	0.2511	0.3082
0.66	3.75	0.2511	0.3078
0.66	3.8	Evaluation
0.66	3.85	0.2511	0.308
0.66	3.9	0.2515	0.3079
0.66	3.95	0.2514	0.3082
0.66	4	0.2515	0.3079
0.67	2	0.2461	0.3046
0.67	2.05	0.2463	0.3044
0.67	2.1	0.2465	0.304
0.67	2.15	Evaluation
0.67	2.2	0.2468	0.3043
0.67	2.25	0.2473	0.3046
0.67	2.3	0.2475	0.3043
0.67	2.35	0.2477	0.3044
0.67	2.4	0.2479	0.3046
0.67	2.45	0.2481	0.3052
0.67	2.5	0.2482	0.3058
0.67	2.55	Evaluation
0.67	2.6	0.2468	0.3043
0.67	2.65	0.2487	0.3064
0.67	2.7	0.2488	0.3066
0.67	2.75	0.2489	0.3067
0.67	2.8	0.249	0.307
0.67	2.85	0.249	0.3067
0.67	2.9	0.2479	0.3047
0.67	2.95	0.2462	0.3036
0.67	3	0.2498	0.3072
0.67	3.05	0.2499	0.3075
0.67	3.1	0.2501	0.3078
0.67	3.15	0.2505	0.3074
0.67	3.2	0.2505	0.3078
0.67	3.25	0.2506	0.3079
0.67	3.3	0.2507	0.3083
0.67	3.35	0.2508	0.308
0.67	3.4	0.2508	0.3076
0.67	3.45	0.2509	0.3075
0.67	3.5	0.2511	0.3078
0.67	3.55	0.251	0.3076
0.67	3.6	0.2511	0.3079
0.67	3.65	0.2511	0.3078
0.67	3.7	0.2511	0.3079
0.67	3.75	0.2511	0.3079
0.67	3.8	0.2511	0.3079
0.67	3.85	0.2514	0.3079
0.67	3.9	0.2515	0.3079
0.67	3.95	0.2514	0.3082
0.67	4	0.2515	0.3079
0.68	2	0.2462	0.3046
0.68	2.05	0.2464	0.304
0.68	2.1	0.2466	0.304
0.68	2.15	0.2467	0.3043
0.68	2.2	0.2468	0.304
0.68	2.25	0.2473	0.3046
0.68	2.3	0.2475	0.3041
0.68	2.35	0.2477	0.3043
0.68	2.4	0.2479	0.305
0.68	2.45	0.2481	0.3054
0.68	2.5	0.2481	0.3058
0.68	2.55	Evaluation
0.68	2.6	0.2485	0.3063
0.68	2.65	0.2486	0.3062
0.68	2.7	0.2488	0.3066
0.68	2.75	0.2489	0.3067
0.68	2.8	0.2491	0.3067
0.68	2.85	0.2474	0.3052
0.68	2.9	0.2493	0.3066
0.68	2.95	0.2498	0.3071
0.68	3	Evaluation
0.68	3.05	0.25	0.3075
0.68	3.1	0.2501	0.3075
0.68	3.15	0.2505	0.3075
0.68	3.2	0.2505	0.3078
0.68	3.25	0.2507	0.3076
0.68	3.3	0.2507	0.3079
0.68	3.35	0.2508	0.3079
0.68	3.4	0.2508	0.3074
0.68	3.45	0.2509	0.3076
0.68	3.5	0.2511	0.3078
0.68	3.55	0.251	0.3076
0.68	3.6	0.251	0.3079
0.68	3.65	0.2511	0.3076
0.68	3.7	0.2511	0.3079
0.68	3.75	0.2511	0.308
0.68	3.8	0.2511	0.3082
0.68	3.85	Evaluation
0.68	3.9	0.2515	0.3079
0.68	3.95	0.2515	0.3082
0.68	4	0.2515	0.308
0.69	2	0.2462	0.3044
0.69	2.05	0.2464	0.304
0.69	2.1	0.2466	0.3039
0.69	2.15	0.2467	0.3044
0.69	2.2	0.2469	0.3037
0.69	2.25	0.2473	0.3043
0.69	2.3	0.2476	0.3041
0.69	2.35	0.2477	0.3041
0.69	2.4	0.248	0.3051
0.69	2.45	0.2482	0.3054
0.69	2.5	0.2482	0.3058
0.69	2.55	0.2469	0.3046
0.69	2.6	0.2475	0.3051
0.69	2.65	0.2486	0.306
0.69	2.7	0.2489	0.3063
0.69	2.75	0.249	0.3064
0.69	2.8	0.2478	0.3051
0.69	2.85	Evaluation
0.69	2.9	0.2493	0.3066
0.69	2.95	Evaluation
0.69	3	0.2499	0.3074
0.69	3.05	0.25	0.3075
0.69	3.1	0.2502	0.3076
0.69	3.15	0.2505	0.3075
0.69	3.2	0.2482	0.3037
0.69	3.25	0.2507	0.3075
0.69	3.3	0.2507	0.3079
0.69	3.35	0.2508	0.3078
0.69	3.4	0.2508	0.3076
0.69	3.45	0.2509	0.3076
0.69	3.5	0.2511	0.3078
0.69	3.55	0.251	0.3078
0.69	3.6	0.251	0.3078
0.69	3.65	0.2511	0.3076
0.69	3.7	0.2511	0.3078
0.69	3.75	0.251	0.3079
0.69	3.8	0.2514	0.3082
0.69	3.85	0.2514	0.308
0.69	3.9	0.2515	0.308
0.69	3.95	0.2515	0.3083
0.69	4	0.2515	0.3079
0.7	2	Evaluation
0.7	2.05	0.2416	0.2988
0.7	2.1	0.2467	0.3037
0.7	2.15	0.2468	0.304
0.7	2.2	0.2469	0.3037
0.7	2.25	0.2474	0.3041
0.7	2.3	0.2476	0.3041
0.7	2.35	0.2478	0.3043
0.7	2.4	0.248	0.3051
0.7	2.45	0.2481	0.3054
0.7	2.5	0.2482	0.3055
0.7	2.55	Evaluation
0.7	2.6	0.2485	0.3062
0.7	2.65	0.2487	0.306
0.7	2.7	0.2489	0.3062
0.7	2.75	0.249	0.3066
0.7	2.8	0.249	0.3068
0.7	2.85	0.249	0.3066
0.7	2.9	0.2498	0.3068
0.7	2.95	0.2486	0.3048
0.7	3	0.2499	0.3072
0.7	3.05	0.25	0.3075
0.7	3.1	0.2492	0.3064
0.7	3.15	0.2505	0.3072
0.7	3.2	0.2505	0.3075
0.7	3.25	0.2497	0.3062
0.7	3.3	0.2507	0.3079
0.7	3.35	0.2508	0.3079
0.7	3.4	0.2508	0.3075
0.7	3.45	0.2501	0.3056
0.7	3.5	Evaluation
0.7	3.55	0.251	0.3075
0.7	3.6	0.251	0.3076
0.7	3.65	0.2511	0.3075
0.7	3.7	0.2511	0.3079
0.7	3.75	0.251	0.3079
0.7	3.8	0.2514	0.3082
0.7	3.85	0.2515	0.3082
0.7	3.9	0.2515	0.3082
0.7	3.95	Evaluation
0.7	4	0.2515	0.3082
0.71	2	0.2463	0.3039
0.71	2.05	0.2464	0.3039
0.71	2.1	0.2467	0.3039
0.71	2.15	0.2468	0.304
0.71	2.2	0.2469	0.3037
0.71	2.25	0.2474	0.3041
0.71	2.3	0.2476	0.304
0.71	2.35	0.2478	0.3047
0.71	2.4	0.2481	0.3051
0.71	2.45	0.2481	0.3051
0.71	2.5	0.2482	0.3054
0.71	2.55	0.2484	0.3055
0.71	2.6	0.2485	0.3059
0.71	2.65	0.2487	0.3059
0.71	2.7	0.2489	0.3063
0.71	2.75	0.2489	0.3062
0.71	2.8	0.249	0.3064
0.71	2.85	0.2489	0.3064
0.71	2.9	0.2498	0.3066
0.71	2.95	0.2499	0.307
0.71	3	0.2499	0.3072
0.71	3.05	0.2495	0.3063
0.71	3.1	0.2502	0.3074
0.71	3.15	0.2505	0.3068
0.71	3.2	0.2506	0.3074
0.71	3.25	0.2507	0.3075
0.71	3.3	0.2507	0.3078
0.71	3.35	0.2508	0.3079
0.71	3.4	0.2508	0.3075
0.71	3.45	0.249	0.3058
0.71	3.5	0.2496	0.3063
0.71	3.55	0.251	0.3074
0.71	3.6	0.2511	0.3075
0.71	3.65	0.2511	0.3074
0.71	3.7	0.2511	0.3079
0.71	3.75	0.2514	0.3079
0.71	3.8	0.2515	0.3082
0.71	3.85	0.2515	0.3083
0.71	3.9	Evaluation
0.71	3.95	0.2515	0.3086
0.71	4	0.2516	0.3083
0.72	2	0.2463	0.304
0.72	2.05	0.2464	0.3036
0.72	2.1	0.2468	0.3036
0.72	2.15	0.2469	0.3039
0.72	2.2	0.247	0.3037
0.72	2.25	0.2474	0.304
0.72	2.3	0.2477	0.3039
0.72	2.35	0.2479	0.3046
0.72	2.4	0.2481	0.3051
0.72	2.45	0.2482	0.3051
0.72	2.5	0.2482	0.3055
0.72	2.55	0.2484	0.3055
0.72	2.6	0.2485	0.3059
0.72	2.65	0.2487	0.306
0.72	2.7	Evaluation
0.72	2.75	0.249	0.3062
0.72	2.8	0.249	0.3066
0.72	2.85	0.249	0.3066
0.72	2.9	0.2498	0.3066
0.72	2.95	0.2499	0.3068
0.72	3	0.2499	0.3074
0.72	3.05	0.2501	0.3075
0.72	3.1	0.2502	0.3074
0.72	3.15	0.2505	0.307
0.72	3.2	0.2506	0.3072
0.72	3.25	0.2506	0.3079
0.72	3.3	0.2506	0.3079
0.72	3.35	0.2506	0.3063
0.72	3.4	0.2508	0.3075
0.72	3.45	0.2509	0.3075
0.72	3.5	0.2511	0.3075
0.72	3.55	Evaluation
0.72	3.6	0.2511	0.3075
0.72	3.65	0.2511	0.3074
0.72	3.7	0.2511	0.3079
0.72	3.75	0.2514	0.3079
0.72	3.8	0.2487	0.3079
0.72	3.85	0.2515	0.3084
0.72	3.9	0.2515	0.3084
0.72	3.95	0.2515	0.3087
0.72	4	0.2516	0.3082
0.73	2	0.2463	0.304
0.73	2.05	0.2465	0.3036
0.73	2.1	0.2468	0.3036
0.73	2.15	0.2469	0.3039
0.73	2.2	0.247	0.3037
0.73	2.25	0.2471	0.3028
0.73	2.3	0.2478	0.3041
0.73	2.35	0.248	0.3047
0.73	2.4	0.248	0.3051
0.73	2.45	0.2482	0.3048
0.73	2.5	0.2482	0.3055
0.73	2.55	0.2484	0.3055
0.73	2.6	0.2483	0.3054
0.73	2.65	0.2488	0.306
0.73	2.7	0.249	0.3063
0.73	2.75	0.2489	0.3063
0.73	2.8	0.249	0.3067
0.73	2.85	0.2495	0.3066
0.73	2.9	0.2498	0.3066
0.73	2.95	0.2499	0.307
0.73	3	0.2499	0.3074
0.73	3.05	0.2501	0.3075
0.73	3.1	0.2502	0.3072
0.73	3.15	0.2506	0.307
0.73	3.2	0.2506	0.3075
0.73	3.25	0.2506	0.3078
0.73	3.3	0.2506	0.3079
0.73	3.35	0.2508	0.3079
0.73	3.4	0.2508	0.3074
0.73	3.45	0.2504	0.3059
0.73	3.5	0.251	0.3074
0.73	3.55	0.251	0.3074
0.73	3.6	0.2511	0.3075
0.73	3.65	0.2511	0.3075
0.73	3.7	0.2514	0.308
0.73	3.75	Evaluation
0.73	3.8	0.2515	0.3083
0.73	3.85	0.2515	0.3086
0.73	3.9	0.2516	0.3083
0.73	3.95	0.2516	0.3086
0.73	4	0.2516	0.3083
0.74	2	0.2463	0.3039
0.74	2.05	0.2465	0.3036
0.74	2.1	0.2468	0.3036
0.74	2.15	0.2469	0.3039
0.74	2.2	0.2471	0.3037
0.74	2.25	0.2475	0.304
0.74	2.3	0.2478	0.3044
0.74	2.35	Evaluation
0.74	2.4	0.248	0.3051
0.74	2.45	0.2482	0.3052
0.74	2.5	0.2482	0.3055
0.74	2.55	0.2485	0.3055
0.74	2.6	0.2486	0.3062
0.74	2.65	0.2488	0.3062
0.74	2.7	0.249	0.3063
0.74	2.75	0.2489	0.3064
0.74	2.8	0.249	0.3068
0.74	2.85	0.2495	0.3066
0.74	2.9	0.2499	0.3064
0.74	2.95	0.2499	0.3074
0.74	3	0.25	0.3075
